Round,Pick,Team,Player,Position,Original Owner
1,1,"94Sleeper","","",""
1,2,"samdecker","","",""
1,3,"JoshAllenFuksUrTeam","","",""
1,4,"JustinBondi","","",""
2,1,"JustinBondi","","",""
2,2,"JoshAllenFuksUrTeam","","",""
2,3,"samdecker","","",""
2,4,"94Sleeper","","",""
3,1,"94Sleeper","","",""
3,2,"samdecker","","",""
3,3,"JoshAllenFuksUrTeam","","",""
3,4,"JustinBondi","","",""
4,1,"JustinBondi","","",""
4,2,"JoshAllenFuksUrTeam","","",""
4,3,"samdecker","","",""
4,4,"94Sleeper","","",""
5,1,"94Sleeper","","",""
5,2,"samdecker","","",""
5,3,"JoshAllenFuksUrTeam","","",""
5,4,"JustinBondi","","",""
6,1,"JustinBondi","","",""
6,2,"JoshAllenFuksUrTeam","","",""
6,3,"samdecker","","",""
6,4,"94Sleeper","","",""
7,1,"94Sleeper","","",""
7,2,"samdecker","","",""
7,3,"JoshAllenFuksUrTeam","","",""
7,4,"JustinBondi","","",""
8,1,"JustinBondi","","",""
8,2,"JoshAllenFuksUrTeam","","",""
8,3,"samdecker","","",""
8,4,"94Sleeper","","",""
9,1,"94Sleeper","","",""
9,2,"samdecker","","",""
9,3,"JoshAllenFuksUrTeam","","",""
9,4,"JustinBondi","","",""
10,1,"JustinBondi","","",""
10,2,"JoshAllenFuksUrTeam","","",""
10,3,"samdecker","","",""
10,4,"94Sleeper","","",""
11,1,"94Sleeper","","",""
11,2,"samdecker","","",""
11,3,"JoshAllenFuksUrTeam","","",""
11,4,"JustinBondi","","",""
12,1,"JustinBondi","","",""
12,2,"JoshAllenFuksUrTeam","","",""
12,3,"samdecker","","",""
12,4,"94Sleeper","","",""
13,1,"94Sleeper","","",""
13,2,"samdecker","","",""
13,3,"JoshAllenFuksUrTeam","","",""
13,4,"JustinBondi","","",""
14,1,"JustinBondi","","",""
14,2,"JoshAllenFuksUrTeam","","",""
14,3,"samdecker","","",""
14,4,"94Sleeper","","",""
15,1,"94Sleeper","","",""
15,2,"samdecker","","",""
15,3,"JoshAllenFuksUrTeam","","",""
15,4,"JustinBondi","","",""
16,1,"JustinBondi","","",""
16,2,"JoshAllenFuksUrTeam","","",""
16,3,"samdecker","","",""
16,4,"94Sleeper","","",""
17,1,"94Sleeper","","",""
17,2,"samdecker","","",""
17,3,"JoshAllenFuksUrTeam","","",""
17,4,"JustinBondi","","",""
18,1,"JustinBondi","","",""
18,2,"JoshAllenFuksUrTeam","","",""
18,3,"samdecker","","",""
18,4,"94Sleeper","","",""
19,1,"94Sleeper","","",""
19,2,"samdecker","","",""
19,3,"JoshAllenFuksUrTeam","","",""
19,4,"JustinBondi","","",""
20,1,"JustinBondi","","",""
20,2,"JoshAllenFuksUrTeam","","",""
20,3,"samdecker","","",""
20,4,"94Sleeper","","",""
21,1,"94Sleeper","","",""
21,2,"samdecker","","",""
21,3,"JoshAllenFuksUrTeam","","",""
21,4,"JustinBondi","","",""
22,1,"JustinBondi","","",""
22,2,"JoshAllenFuksUrTeam","","",""
22,3,"samdecker","","",""
22,4,"94Sleeper","","",""
23,1,"94Sleeper","","",""
23,2,"samdecker","","",""
23,3,"JoshAllenFuksUrTeam","","",""
23,4,"JustinBondi","","",""
24,1,"JustinBondi","","",""
24,2,"JoshAllenFuksUrTeam","","",""
24,3,"samdecker","","",""
24,4,"94Sleeper","","",""
25,1,"94Sleeper","","",""
25,2,"samdecker","","",""
25,3,"JoshAllenFuksUrTeam","","",""
25,4,"JustinBondi","","",""
26,1,"JustinBondi","","",""
26,2,"JoshAllenFuksUrTeam","","",""
26,3,"samdecker","","",""
26,4,"94Sleeper","","",""
27,1,"94Sleeper","","",""
27,2,"samdecker","","",""
27,3,"JoshAllenFuksUrTeam","","",""
27,4,"JustinBondi","","",""
28,1,"JustinBondi","","",""
28,2,"JoshAllenFuksUrTeam","","",""
28,3,"samdecker","","",""
28,4,"94Sleeper","","",""
29,1,"94Sleeper","","",""
29,2,"samdecker","","",""
29,3,"JoshAllenFuksUrTeam","","",""
29,4,"JustinBondi","","",""
30,1,"JustinBondi","","",""
30,2,"JoshAllenFuksUrTeam","","",""
30,3,"samdecker","","",""
30,4,"94Sleeper","","",""
31,1,"94Sleeper","","",""
31,2,"samdecker","","",""
31,3,"JoshAllenFuksUrTeam","","",""
31,4,"JustinBondi","","",""
32,1,"JustinBondi","","",""
32,2,"JoshAllenFuksUrTeam","","",""
32,3,"samdecker","","",""
32,4,"94Sleeper","","",""
33,1,"94Sleeper","","",""
33,2,"samdecker","","",""
33,3,"JoshAllenFuksUrTeam","","",""
33,4,"JustinBondi","","",""
34,1,"JustinBondi","","",""
34,2,"JoshAllenFuksUrTeam","","",""
34,3,"samdecker","","",""
34,4,"94Sleeper","","",""
35,1,"94Sleeper","","",""
35,2,"samdecker","","",""
35,3,"JoshAllenFuksUrTeam","","",""
35,4,"JustinBondi","","",""
36,1,"JustinBondi","","",""
36,2,"JoshAllenFuksUrTeam","","",""
36,3,"samdecker","","",""
36,4,"94Sleeper","","",""
